"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed"
"MFS-100.filtered.vcf.gz",1,-2817.75234936612,1e-04,0,-1,Inf,1,141,"4.4.1.1",1,FALSE
"MFS-101.filtered.vcf.gz",1,-3210.2735437182,1e-04,0,-1,Inf,1,141,"4.4.1.1",1,FALSE
"MFS-102.filtered.vcf.gz",1,-5109.70317828105,0.000495884773662551,0,-1,Inf,1,156,"4.1.1.3",1,FALSE
"MFS-103.filtered.vcf.gz",1,-2783.26269650449,1e-04,0,-1,Inf,1,57,"4.1.1.1",1,FALSE
"MFS-104.filtered.vcf.gz",1,-2865.29822847776,1e-04,0,-1,Inf,1,159,"4.8",1,FALSE
"MFS-105.filtered.vcf.gz",1,-2556.91544462506,1e-04,0,-1,Inf,1,159,"4.8",1,FALSE
"MFS-106.filtered.vcf.gz",1,-3876.54171044463,1e-04,0,-1,Inf,1,12,"4.3.3",1,FALSE
"MFS-107.filtered.vcf.gz",1,-2552.19106766805,1e-04,0,-1,Inf,1,57,"4.1.1.1",1,FALSE
"MFS-108.filtered.vcf.gz",1,-4293.27027492511,0.000465432098765432,0,-1,Inf,1,40,"2.2.M4.4",1,FALSE
"MFS-109.filtered.vcf.gz",1,-4023.85194363676,1e-04,0,-1,Inf,1,40,"2.2.M4.4",1,FALSE
"MFS-10.filtered.vcf.gz",1,-2283.43360530773,1e-04,0,-1,Inf,1,9,"4.3.2.1",1,FALSE
"MFS-110.filtered.vcf.gz",1,-4093.1263469776,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE
"MFS-111.filtered.vcf.gz",1,-2447.49040126312,1e-04,0,-1,Inf,1,9,"4.3.2.1",1,FALSE
"MFS-112.filtered.vcf.gz",1,-2364.21820822354,1e-04,0,-1,Inf,1,9,"4.3.2.1",1,FALSE
"MFS-113.filtered.vcf.gz",1,-4250.57200701377,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE
"MFS-114.filtered.vcf.gz",1,-3815.90832723658,1e-04,0,-1,Inf,1,40,"2.2.M4.4",1,FALSE
"MFS-115.filtered.vcf.gz",1,-4136.16032675573,1e-04,0,-1,Inf,1,65,"2.2.M1.1",1,FALSE
