Region,Start,End
NC_1,1525,2051
NC_2,3261,3279
NC_3,4998,5239
NC_4,7268,7301
NC_5,9819,9913
NC_6,10829,11873
NC_7,12312,12467
NC_8,13017,13132
NC_9,13559,13713
NC_10,13996,14088
NC_11,14878,14913
NC_12,23182,23269
NC_13,23738,23860
NC_14,25445,25912
NC_15,26882,27022
NC_16,27443,27594
NC_17,29208,29244
NC_18,29608,29721
NC_19,31069,31188
NC_20,31507,31513
NC_21,31820,32056
NC_22,33155,33223
NC_23,33554,33581
NC_24,33795,34294
NC_25,38948,39055
NC_26,39830,39876
NC_27,41203,41303
NC_28,41913,42003
NC_29,42352,42432
NC_30,43366,43561
NC_31,46472,46580
NC_32,47208,47365
NC_33,48101,48232
NC_34,49028,49042
NC_35,49940,50020
NC_36,51125,51184
NC_37,51728,51827
NC_38,52698,52830
NC_39,53245,53662
NC_40,57379,57409
NC_41,57974,58191
NC_42,58483,58585
NC_43,59081,59121
NC_44,59377,59408
NC_45,59868,59895
NC_46,63021,63199
NC_47,63893,63908
NC_48,64968,65011
NC_49,65351,65551
NC_50,66695,66922
NC_51,68363,68619
NC_52,71560,71588
NC_53,72223,72273
NC_54,74512,74628
NC_55,75199,75300
NC_56,76213,76236
NC_57,78897,79485
NC_58,80194,80623
NC_59,81674,81675
NC_60,82669,82747
NC_61,83984,83995
NC_62,85169,85182
NC_63,85573,85635
NC_64,86467,86527
NC_65,87134,87207
NC_66,88005,88203
NC_67,89481,89574
NC_68,89920,89923
NC_69,92323,92327
NC_70,93279,93288
NC_71,96893,96926
NC_72,97602,97757
NC_73,98352,98479
NC_74,99251,99683
NC_75,100452,100582
NC_76,103664,103709
NC_77,104664,104804
NC_78,105216,105323
NC_79,106716,106733
NC_80,108152,108155
NC_81,109779,109782
NC_82,117540,117713
NC_83,119700,119914
NC_84,122174,122316
NC_85,123832,123979
NC_86,124265,124373
NC_87,125571,125642
NC_88,130542,130894
NC_89,131105,131381
NC_90,132873,133019
NC_91,133770,133949
NC_92,136008,136288
NC_93,137246,137318
NC_94,137910,137940
NC_95,139674,140266
NC_96,141023,141199
NC_97,143877,144048
NC_98,147772,147907
NC_99,148343,148490
NC_100,149225,149532
NC_101,150997,151147
NC_102,152216,152323
NC_103,154130,154231
NC_104,155600,155666
NC_105,156447,156577
NC_106,157601,157846
NC_107,158303,158314
NC_108,159659,159699
NC_109,160783,160868
NC_110,161475,161770
NC_111,163250,163365
NC_112,164692,164711
NC_113,165261,165322
NC_114,166850,166909
NC_115,167682,167710
NC_116,168638,168703
NC_117,170183,170283
NC_118,171127,171214
NC_119,172169,172210
NC_120,173144,173237
NC_121,174759,174832
NC_122,175694,175699
NC_123,176953,177542
NC_124,179310,179318
NC_125,180897,181154
NC_126,181986,181986
NC_127,183199,183621
NC_128,186480,186494
NC_129,186624,186784
NC_130,187430,187432
NC_131,188840,188930
NC_132,190440,190606
NC_133,191957,191983
NC_134,193573,193625
NC_135,194112,194143
NC_136,194816,194992
NC_137,196658,196860
NC_138,197659,197659
NC_139,198530,198533
NC_140,206779,206813
NC_141,209673,209702
NC_142,210813,210891
NC_143,212251,212276
NC_144,213012,213027
NC_145,214928,214968
NC_146,216225,216268
NC_147,218345,218389
NC_148,218552,218704
NC_149,219368,219485
NC_150,219918,219995
NC_151,221724,221870
NC_152,222162,222288
NC_153,223531,223563
NC_154,224665,224723
NC_155,226572,226877
NC_156,230463,230898
NC_157,231535,231646
NC_158,236508,236549
NC_159,241293,241513
NC_160,241925,241975
NC_161,243215,243383
NC_162,247319,247383
NC_163,248113,248114
NC_164,248907,249037
NC_165,251599,251781
NC_166,253603,253668
NC_167,255951,256063
NC_168,257678,257782
NC_169,258857,258912
NC_170,260832,260923
NC_171,262253,262253
NC_172,262803,262811
NC_173,264024,264066
NC_174,265477,265506
NC_175,266296,266300
NC_176,267765,267862
NC_177,268628,268662
NC_178,269818,269833
NC_179,271565,271573
NC_180,272840,273054
NC_181,274279,274305
NC_182,275964,276057
NC_183,277765,277898
NC_184,279530,279604
NC_185,281141,281165
NC_186,282615,282648
NC_187,286852,286897
NC_188,287072,287185
NC_189,288353,288427
NC_190,289043,289103
NC_191,289338,289344
NC_192,289783,289811
NC_193,290655,290664
NC_194,292030,292170
NC_195,293494,293797
NC_196,295634,296004
NC_197,296494,296808
NC_198,300804,300833
NC_199,301656,301734
NC_200,302029,302172
NC_201,302653,302865
NC_202,305428,305452
NC_203,305810,305824
NC_204,306350,306373
NC_205,307859,307876
NC_206,309548,309698
NC_207,310074,310293
NC_208,310750,310773
NC_209,312660,312758
NC_210,314169,314308
NC_211,314855,314863
NC_212,315767,315782
NC_213,316416,316510
NC_214,317504,317524
NC_215,321155,321330
NC_216,322723,322763
NC_217,323274,323337
NC_218,324532,324566
NC_219,326250,326265
NC_220,328462,328574
NC_221,330326,330421
NC_222,331659,331747
NC_223,332669,332707
NC_224,333137,333159
NC_225,333418,333436
NC_226,336311,336559
NC_227,339074,339363
NC_228,340975,340997
NC_229,341907,342129
NC_230,349933,349934
NC_231,351477,351524
NC_232,351819,351847
NC_233,352139,352148
NC_234,353037,353082
NC_235,358065,358170
NC_236,359749,359757
NC_237,361156,361333
NC_238,363110,363251
NC_239,363779,363825
NC_240,364470,364604
NC_241,366143,366149
NC_242,372765,372819
NC_243,375712,375913
NC_244,377056,377112
NC_245,377830,377930
NC_246,378588,378656
NC_247,379149,379171
NC_248,380402,380555
NC_249,382419,382489
NC_250,382877,382878
NC_251,383542,383601
NC_252,384487,384534
NC_253,385150,385172
NC_254,385944,386304
NC_255,387100,387147
NC_256,387817,387887
NC_257,388551,388581
NC_258,389155,389259
NC_259,391252,391351
NC_260,392033,392038
NC_261,392264,392272
NC_262,394046,394110
NC_263,395321,395346
NC_264,396088,396200
NC_265,397368,397441
NC_266,398228,398253
NC_267,398629,398657
NC_268,399525,399534
NC_269,400051,400191
NC_270,401704,401872
NC_271,403163,403192
NC_272,405842,405949
NC_273,408449,408633
NC_274,409174,409361
NC_275,410802,410837
NC_276,414239,414380
NC_277,414942,415049
NC_278,415461,415501
NC_279,416966,417303
NC_280,418291,418292
NC_281,418947,418948
NC_282,419609,419834
NC_283,422417,422451
NC_284,424020,424268
NC_285,424695,424776
NC_286,434680,434829
NC_287,436770,436859
NC_288,437508,437517
NC_289,438298,438301
NC_290,438740,438821
NC_291,439650,439870
NC_292,441254,441264
NC_293,442300,442394
NC_294,444198,444221
NC_295,444816,444843
NC_296,445234,445313
NC_297,446526,446530
NC_298,447047,447146
NC_299,449386,449403
NC_300,452280,452293
NC_301,453155,453229
NC_302,454373,454420
NC_303,455387,455636
NC_304,455859,455976
NC_305,456193,456267
NC_306,456820,456914
NC_307,457824,457840
NC_308,458381,458460
NC_309,459316,459455
NC_310,462003,462134
NC_311,463308,463410
NC_312,466669,466671
NC_313,467407,467458
NC_314,468002,468334
NC_315,472640,472780
NC_316,474107,474121
NC_317,474842,474939
NC_318,475345,475349
NC_319,475743,475815
NC_320,476185,476393
NC_321,476643,476678
NC_322,477321,477326
NC_323,478557,478565
NC_324,479754,479788
NC_325,480161,480354
NC_326,483657,483976
NC_327,490706,490782
NC_328,495009,495061
NC_329,499620,499712
NC_330,501019,501147
NC_331,503125,503495
NC_332,504999,505085
NC_333,506972,507131
NC_334,508556,508581
NC_335,510226,510376
NC_336,510653,510701
NC_337,515322,515372
NC_338,515817,516016
NC_339,516893,516894
NC_340,518397,518732
NC_341,519042,519072
NC_342,519568,519599
NC_343,520323,520323
NC_344,521455,521513
NC_345,522168,522346
NC_346,526083,526142
NC_347,527361,527378
NC_348,528315,528607
NC_349,530231,530295
NC_350,530725,530750
NC_351,532215,532395
NC_352,532912,533090
NC_353,533790,533832
NC_354,534397,534444
NC_355,535216,535223
NC_356,537170,537228
NC_357,538549,538587
NC_358,541911,542141
NC_359,542853,543173
NC_360,544731,544834
NC_361,545186,545374
NC_362,545822,545888
NC_363,546804,547075
NC_364,547518,547585
NC_365,549608,549674
NC_366,551690,551748
NC_367,551989,552025
NC_368,552551,552613
NC_369,554009,554015
NC_370,554310,554312
NC_371,556307,556457
NC_372,557253,557526
NC_373,558814,558894
NC_374,559756,559887
NC_375,560749,560847
NC_376,561712,561853
NC_377,562714,562722
NC_378,563428,563563
NC_379,564935,565020
NC_380,565444,565796
NC_381,566397,566507
NC_382,566772,566775
NC_383,567897,567920
NC_384,569807,569987
NC_385,570513,570538
NC_386,571649,571709
NC_387,573802,573983
NC_388,575301,575347
NC_389,577339,577663
NC_390,578270,578425
NC_391,579176,579348
NC_392,580582,580808
NC_393,584691,584694
NC_394,586315,586393
NC_395,588310,588324
NC_396,589168,589182
NC_397,590059,590082
NC_398,590971,591110
NC_399,591348,591474
NC_400,591577,591653
NC_401,592785,592790
NC_402,593868,593870
NC_403,594780,594801
NC_404,595303,595463
NC_405,596586,596758
NC_406,600392,600440
NC_407,601848,601856
