SampleID	Lineage
MFS-331	4
MFS-509	4
MFS-511	2
MFS-1	2
MFS-332	2
MFS-3	2
MFS-4	4
MFS-334	4
MFS-514	2
MFS-516	4
MFS-5	3
MFS-518	4
MFS-519	4
MFS-520	1
MFS-7	2
MFS-521	4
MFS-523	3
MFS-9	4
MFS-524	4
MFS-526	4
MFS-11	4
MFS-528	2
MFS-338	2
MFS-13	4
MFS-530	4
MFS-15	3
MFS-16	2
MFS-531	2
MFS-18	2
MFS-533	2
MFS-340	2
MFS-535	4
MFS-342	2
MFS-20	3
MFS-719	2
MFS-22	2
MFS-721	4
MFS-723	2
MFS-537	2
MFS-25	4
MFS-539	2
MFS-27	4
MFS-725	4
MFS-28	4
MFS-727	4
MFS-30	2
MFS-32	2
MFS-542	4
MFS-33	2
MFS-35	4 DUP
MFS-544	4
MFS-546	3
MFS-344	2
MFS-548	2
MFS-346	2
MFS-550	2
MFS-37	2
MFS-729	4
MFS-551	2
MFS-553	3
MFS-348	2
MFS-41	2
MFS-555	2
MFS-557	3
MFS-558	2
MFS-559	4 DUP
MFS-43	4
MFS-732	2
MFS-45	2
MFS-560	4
MFS-47	3
MFS-49	2
MFS-51	2
MFS-734	2
MFS-54	2
MFS-355	2
MFS-564	4
MFS-357	2
MFS-737	3
MFS-566	3
MFS-738	2
MFS-55	2
MFS-739	2
MFS-571	3
MFS-359	2
MFS-56	4
MFS-58	2
MFS-360	2
MFS-573	4
MFS-362	2
MFS-574	3
MFS-741	4
MFS-364	4
MFS-575	2
MFS-579	4
MFS-366	4
MFS-581	4
MFS-583	2
MFS-584	4
MFS-586	4
MFS-60	4
MFS-368	2
MFS-588	4 DUP
MFS-590	4
MFS-592	2
MFS-594	4
MFS-62	2
MFS-64	2
MFS-743	4
MFS-597	4
MFS-745	4
MFS-66	2
MFS-369	2
MFS-746	4 DUP
MFS-601	2
MFS-68	4
MFS-70	2
MFS-71	2
MFS-72	4
MFS-370	2
MFS-747	4
MFS-602	4
MFS-603	4
MFS-604	4
MFS-74	2
MFS-606	2
MFS-610	2
MFS-76	2
MFS-611	2
MFS-876	4
MFS-372	4
MFS-374	2
MFS-612	2
MFS-80	2
MFS-81	4
MFS-614	4
MFS-83	4
MFS-616	2
MFS-86	2
MFS-617	4
MFS-88	2
MFS-90	4
MFS-619	4
MFS-91	4
MFS-621	4
MFS-751	4
MFS-93	2
MFS-753	2
MFS-269	3
MFS-95	4
MFS-97	2
MFS-98	4
MFS-623	2
MFS-100	4
MFS-102	4
MFS-103	4
MFS-104	4
MFS-625	2
MFS-106	4
MFS-107	4
MFS-108	2
MFS-754	4
MFS-194	4
MFS-277	2
MFS-111	4
MFS-627	4
MFS-629	2
MFS-115	2
MFS-117	4
MFS-265	4
MFS-278	2
MFS-633	4
MFS-878	4
MFS-636	2
MFS-637	4
MFS-119	2
MFS-638	2
MFS-640	2
MFS-122	2
MFS-641	2
MFS-123	2
MFS-643	4
MFS-758	2
MFS-125	4
MFS-127	3
MFS-129	2
MFS-644	2
MFS-131	4
MFS-132	2
MFS-133	2
MFS-135	3
MFS-381	4
MFS-137	4
MFS-138	2
MFS-140	4
MFS-142	2
MFS-646	2
MFS-144	2
MFS-146	4
MFS-648	4
MFS-148	4
MFS-649	4
MFS-651	3
MFS-150	4
MFS-152	4
MFS-154	3
MFS-156	2
MFS-158	2
MFS-160	4
MFS-161	2
MFS-162	2
MFS-164	2
MFS-166	2
MFS-281	4
MFS-169	2
MFS-171	4
MFS-172	2
MFS-174	4
MFS-176	4
MFS-260	4
MFS-178	2
MFS-180	3
MFS-181	4
MFS-274	2
MFS-182	2
MFS-184	2
MFS-185	4
MFS-187	2
MFS-382	4
MFS-190	4
MFS-276	2
MFS-383	2
MFS-191	4
MFS-385	4
MFS-321	2
MFS-294	2
MFS-296	4
MFS-298	4
MFS-300	4
MFS-323	2
MFS-324	2
MFS-325	2
MFS-327	4
MFS-762	2
MFS-303	2
MFS-305	2
MFS-329	4
MFS-264	2
MFS-308	4 DUP
MFS-310	4
MFS-282	2
MFS-763	2
MFS-655	4
MFS-285	4
MFS-764	4
MFS-259	2
MFS-656	4
MFS-287	2
MFS-258	4
MFS-765	2
MFS-315	2
MFS-289	3
MFS-291	2
MFS-292	2
MFS-319	2
MFS-293	4
MFS-320	2
MFS-388	2
MFS-658	2
MFS-659	4
MFS-391	3
MFS-393	4
MFS-395	4
MFS-397	2
MFS-399	2
MFS-401	4
MFS-402	2
MFS-404	2
MFS-406	2
MFS-408	2
MFS-410	4
MFS-412	4
MFS-414	2
MFS-416	4
MFS-418	2
MFS-420	2
MFS-766	2
MFS-767	4
MFS-768	2
MFS-427	4
MFS-429	4
MFS-430	4
MFS-432	4
MFS-434	2
MFS-435	2
MFS-437	4
MFS-439	4
MFS-441	2
MFS-443	2
MFS-444	2
MFS-770	2
MFS-446	2
MFS-448	2
MFS-452	2
MFS-454	2
MFS-458	2
MFS-460	4
MFS-462	2
MFS-464	2
MFS-662	2
MFS-467	2
MFS-773	4
MFS-470	4
MFS-471	2
MFS-473	4
MFS-474	2
MFS-476	2
MFS-664	4
MFS-777	2
MFS-479	2
MFS-884	4
MFS-480	2
MFS-668	4
MFS-482	4
MFS-484	2
MFS-487	4
MFS-670	4
MFS-671	2
MFS-672	2
MFS-673	2
MFS-674	4
MFS-675	4
MFS-886	2
MFS-677	4
MFS-678	4
MFS-787	3
MFS-789	2
MFS-888	4
MFS-681	4
MFS-682	2
MFS-683	4
MFS-684	4
MFS-685	3
MFS-686	4
MFS-687	4
MFS-688	4
MFS-689	4
MFS-690	4
MFS-801	2
MFS-691	3
MFS-692	4
MFS-693	4
MFS-694	2
MFS-806	2
MFS-695	4
MFS-890	2
MFS-697	4
MFS-812	2
MFS-698	4
MFS-699	4
MFS-815	4
MFS-700	2
MFS-701	4 DUP
MFS-702	4
MFS-703	2
MFS-704	2
MFS-706	2
MFS-824	2
MFS-708	2
MFS-709	2
MFS-710	3
MFS-711	3
MFS-892	4
MFS-713	2
MFS-714	4
MFS-715	2
MFS-716	4
MFS-717	4
MFS-837	2
MFS-839	4
MFS-842	2
MFS-844	4
MFS-846	2
MFS-848	3
MFS-850	4
MFS-852	3
MFS-854	4
MFS-856	2
MFS-858	2
MFS-860	2
MFS-862	4
MFS-864	2
MFS-866	2
MFS-894	3
MFS-868	2
