pid,SE1,SE2,SASE1,SASE2,NumVar1,NumVar2,NumVar,OverlapVarSites,ChangeSites,SE_Diff,SASE_Diff,Abs_SASE_Diff,Coll2014,Freschi2020,Lineage,F2,NumVarDiff
T0002,0,0.6697247079991937,0,0.33486235399959685,0,2,2,0,2,0.6697247079991937,0.33486235399959685,0.33486235399959685,4.8,4.2.1.1.1.1.1.1.i1,4,0.0055553470215082,2
T0003,0,0,0,0,0,0,0,0,0,0,0,0,2.2.1,2.2.1.1.1,2,0.0061153174140943,0
T0004,0.7175535353875226,0.9216085092521253,0.3587767676937613,0.46080425462606267,2,2,4,0,4,0.2040549738646027,0.10202748693230135,0.10202748693230135,2.2.1.1,2.2.1.1.1,2,0.008273864929155,0
T0005,0,0,0,0,0,0,0,0,0,0,0,0,2.2.1.1,2.2.1.1.1,2,0.0078120399630989,0
T0008,4.380176680665027,1.1699352829941987,0.5475220850831284,0.3899784276647329,8,3,11,0,11,-3.2102413976708286,-0.1575436574183955,0.1575436574183955,4.1.1.1,4.1.i1.2.1,4,0.006519558676028,-5
T0009,3.013205114754746,3.9783661504519574,0.7533012786886865,0.9945915376129894,4,4,5,3,2,0.9651610356972116,0.2412902589243029,0.2412902589243029,4.1.2.1,4.1.i1.1.1.1,4,0.0122218639148661,0
T0011,0.4773763193006362,0.9945019202025798,0.4773763193006362,0.9945019202025798,1,1,2,0,2,0.5171256009019436,0.5171256009019436,0.5171256009019436,2.2.1.1,2.2.1.1.1,2,0.0085594568554079,0
T0012,0,0,0,0,0,0,0,0,0,0,0,0,4.1.1.3,4.1.i1.2.1,4,0.0094244633291715,0
T0018,3.013449419150427,0.34473544633021913,0.6026898838300854,0.34473544633021913,5,1,6,0,6,-2.668713972820208,-0.25795443749986624,0.25795443749986624,2.2.1.1,2.2.1.1.1,2,0.0082304526748971,-4
T0019,0,0.32199004970679873,0,0.32199004970679873,0,1,1,0,1,0.32199004970679873,0.32199004970679873,0.32199004970679873,4.3.3,4.2.1.2.1.1.i4.1,4,0.0050325015726567,1
T0020,0.6471691061405119,0.7119248539634596,0.6471691061405119,0.3559624269817298,1,2,3,0,3,0.06475574782294768,-0.2912066791587821,0.2912066791587821,3.1.1,3.1.1.i1,3,0.0113384819715677,1
T0021,0,0,0,0,0,0,0,0,0,0,0,0,4.3.2.1,4.2.1.2.1.1.i1,4,0.0084485851513222,0
T0022,1.36532287411066,1.990045080541073,0.68266143705533,0.3980090161082146,2,5,6,1,5,0.624722206430413,-0.2846524209471154,0.2846524209471154,4.1.1.1,4.1.i1.2.1,4,0.0058670143415906,3
T0023,0.956015673561468,0,0.478007836780734,0,2,0,2,0,2,-0.956015673561468,-0.478007836780734,0.478007836780734,4.1.1.3,4.1.i1.2.1,4,0.0086950424233924,-2
T0024,1.494028911601634,1.093043283981834,0.3735072279004085,0.546521641990917,4,2,6,0,6,-0.40098562761980006,0.1730144140905085,0.1730144140905085,4.1.1.3,4.1.i1.2.1,4,0.010575296108291,-2
T0025,0,0.2877312846045633,0,0.2877312846045633,0,1,1,0,1,0.2877312846045633,0.2877312846045633,0.2877312846045633,2.2.1,2.2.1.1.1,2,0.0089473684210526,1
T0026,0.3940323370464126,3.925969293467099,0.3940323370464126,0.49074616168338736,1,8,9,0,9,3.531936956420686,0.09671382463697475,0.09671382463697475,2.2.1.1,2.2.1.1.1,2,0.0080918290778559,7
T0028,1.3015634113673333,1.1511881993188446,0.6507817056836667,0.38372939977294823,2,3,5,0,5,-0.1503752120484887,-0.26705230591071843,0.26705230591071843,4.3.2.1,4.2.1.2.1.1.i1,4,0.0091309130913091,1
T0031,7.001987737642082,8.9691035605715,0.5001419812601487,0.5275943270924413,14,17,23,8,15,1.9671158229294186,0.027452345832292502,0.027452345832292502,2.2.1,2.2.1.1.1,2,0.0076692301191582,3
T0032,0,1.5343371894917381,0,0.5114457298305793,0,3,3,0,3,1.5343371894917381,0.5114457298305793,0.5114457298305793,2.2.1.1,2.2.1.1.1,2,0.007340146802936,3
T0033,7.747555500771996,11.041767188960698,0.645629625064333,0.8493667068431306,12,13,18,7,11,3.2942116881887022,0.20373708177879768,0.20373708177879768,2.2.1,2.2.1.1.1.i2,2,0.0068973128069304,1
T0034,0.7089685109391684,0.4072092228267661,0.3544842554695842,0.4072092228267661,2,1,3,0,3,-0.30175928811240227,0.05272496735718191,0.05272496735718191,2.2.1,2.2.1.1.1,2,0.0073916824389994,-1
T0035,1.4800735708888817,2.253837773625829,0.4933578569629606,0.5634594434064573,3,4,7,0,7,0.7737642027369473,0.07010158644349668,0.07010158644349668,2.2.1.1,2.2.1.1.1,2,0.0084474220798135,1
T0036,1.8618964330125083,1.480188614350389,0.4654741082531271,0.7400943071751945,4,2,6,0,6,-0.3817078186621192,0.27462019892206746,0.27462019892206746,4.9,4.2.1.1.1.1.1.1.i2,4,0.0062954744826874,-2
T0038,2.9159759711799875,1.758949210794175,0.5831951942359975,0.8794746053970875,5,2,5,2,3,-1.1570267603858124,0.29627941116109,0.29627941116109,2.2.1.1,2.2.1.1.1,2,0.0093429706928207,-3
T0039,0,1.4985564337827608,0,0.7492782168913804,0,2,2,0,2,1.4985564337827608,0.7492782168913804,0.7492782168913804,3.1.1,3.1.1.i1,3,0.0105014021758587,2
T0040,0.549689363520506,0.930739865726564,0.549689363520506,0.465369932863282,1,2,2,1,1,0.38105050220605796,-0.08431943065722403,0.08431943065722403,2.2.1.1,2.2.1.1.1,2,0.0071983158657219,1
T0042,2.3068340140043757,0.5916326424074365,0.5767085035010939,0.29581632120371826,4,2,5,1,4,-1.7152013715969392,-0.28089218229737567,0.28089218229737567,4.3.4.2.1,4.2.1.2.1.1.i3.1,4,0.0038107890780687,-2
T0043,0.32686513887686003,0,0.32686513887686003,0,1,0,1,0,1,-0.32686513887686003,-0.32686513887686003,0.32686513887686003,2.2.1.1,2.2.1.1.1,2,0.0064010508855714,-1
T0044,0.32036959566826523,0,0.32036959566826523,0,1,0,1,0,1,-0.32036959566826523,-0.32036959566826523,0.32036959566826523,2.2.1.1,2.2.1.1.1,2,0.0072740529842713,-1
T0045,0,0.7547520804190355,0,0.7547520804190355,0,1,1,0,1,0.7547520804190355,0.7547520804190355,0.7547520804190355,4.3.2.1,4.2.1.2.1.1.i1,4,0.0094526705446853,1
T0046,0,0.29269513100147115,0,0.29269513100147115,0,1,1,0,1,0.29269513100147115,0.29269513100147115,0.29269513100147115,2.2.1,2.2.1.1.1,2,0.0072596970472578,1
T0048,0.30137864359308547,1.5370139542728494,0.30137864359308547,0.5123379847576165,1,3,4,0,4,1.235635310679764,0.21095934116453102,0.21095934116453102,4.4.1.1,4.2.1.2.2.1.1,4,0.0046393683543209,2
T0049,3.7559766584048213,6.333657818697583,0.4173307398227579,0.9048082598139404,9,7,13,3,10,2.577681160292762,0.4874775199911825,0.4874775199911825,4.1.1.1,4.1.i1.2.1,4,0.0069541657258974,-2
T0051,2.5233907081702234,0.6574346276373237,0.6308476770425558,0.32871731381866187,4,2,6,0,6,-1.8659560805328996,-0.30213036322389397,0.30213036322389397,4.4.1.1,4.2.1.2.2.1.1,4,0.0064694401193008,-2
T0052,3.8486484874277562,0.7939481089491403,0.4276276097141951,0.7939481089491403,9,1,10,0,10,-3.054700378478616,0.36632049923494514,0.36632049923494514,2.2.1.1,2.2.1.1.1,2,0.0083175026954869,-8
T0054,3.636653514858067,4.340077275739978,0.6061089191430112,0.7233462126233298,6,6,8,4,4,0.7034237608819112,0.11723729348031853,0.11723729348031853,4.3.2.1,4.2.1.2.1.1.i1,4,0.0055397277619499,0
T0055,0.529854135142566,1.7026278812255038,0.529854135142566,0.5675426270751679,1,3,3,1,2,1.172773746082938,0.03768849193260193,0.03768849193260193,2.2.1.1,2.2.1.1.1,2,0.0082946717278222,2
T0056,1.1623539272239016,0.47458110322093094,0.3874513090746339,0.47458110322093094,3,1,3,1,2,-0.6877728240029707,0.08712979414629707,0.08712979414629707,4.2.2,4.2.2.1,4,0.0124235597038944,-2
T0057,0,0,0,0,0,0,0,0,0,0,0,0,4.1.2.1,4.1.i1.1.1.1,4,0.0056395795949756,0
T0058,2.341828201194173,1.9084924076453134,0.7806094003980576,0.47712310191132834,3,4,4,3,1,-0.43333579354885954,-0.30348629848672926,0.30348629848672926,3,3.1.1,3,0.0097172419456381,1
T0059,0,0.7672454119715537,0,0.38362270598577686,0,2,2,0,2,0.7672454119715537,0.38362270598577686,0.38362270598577686,2.2.1.1,2.2.1.1.1,2,0.0088760993798889,2
T0060,0,0,0,0,0,0,0,0,0,0,0,0,2.2.1.1,2.2.1.1.1,2,0.007029011461318,0
T0061,3.7946906970948158,4.090328162094587,0.9486726742737039,0.6817213603490978,4,6,6,4,2,0.2956374649997713,-0.26695131392460614,0.26695131392460614,2.2.1.1,2.2.1.1.1,2,0.0103889585947302,2
T0064,0.3163860802423603,0,0.3163860802423603,0,1,0,1,0,1,-0.3163860802423603,-0.3163860802423603,0.3163860802423603,2.2.1,2.2.1.1.1,2,0.0097662179941301,-1
T0065,0.3173238998358581,2.3439807715244543,0.3173238998358581,0.46879615430489086,1,5,6,0,6,2.026656871688596,0.15147225446903273,0.15147225446903273,4.3.3,4.2.1.2.1.1.i4.1,4,0.0061860984620671,4
T0067,9.608071815748854,0,0.5056879903025713,0,19,0,19,0,19,-9.608071815748854,-0.5056879903025713,0.5056879903025713,2.2.1,2.2.1.1.1,2,0.0075280760212267,-19
T0068,2.4076410068425744,2.6188941963786334,0.4815282013685149,0.8729647321262112,5,3,7,1,6,0.21125318953605898,0.3914365307576963,0.3914365307576963,3.1.1,3.1.1.i1,3,0.0116168750395311,-2
T0069,1.2711169170231353,2.187808669272515,0.6355584585115677,0.7292695564241717,2,3,5,0,5,0.9166917522493798,0.09371109791260401,0.09371109791260401,2.2.1.1,2.2.1.1.1,2,0.0086518798175239,1
T0070,0.2936763098513691,1.2577593847148516,0.2936763098513691,0.6288796923574258,1,2,3,0,3,0.9640830748634825,0.3352033825060567,0.3352033825060567,2.2.1,2.2.1.1.1,2,0.0086163737450923,1
T0071,0,0.3754811420676496,0,0.3754811420676496,0,1,1,0,1,0.3754811420676496,0.3754811420676496,0.3754811420676496,2.2.1.1,2.2.1.1.1,2,0.0068219667328798,1
T0076,0,0.5003144597128062,0,0.5003144597128062,0,1,1,0,1,0.5003144597128062,0.5003144597128062,0.5003144597128062,4.1.2,4.1.i1.1.1.1,4,0.0096857247946381,1
T0077,0,1.0541584959536563,0,0.5270792479768281,0,2,2,0,2,1.0541584959536563,0.5270792479768281,0.5270792479768281,4.1.2.1,4.1.i1.1.1.1,4,0.0102858612265889,2
T0078,0,0.5782148789313071,0,0.5782148789313071,0,1,1,0,1,0.5782148789313071,0.5782148789313071,0.5782148789313071,2.2.1,2.2.1.1.1,2,0.0090269001624842,1
T0079,0,0,0,0,0,0,0,0,0,0,0,0,2.2.1.1,2.2.1.1.1,2,0.0078445447087776,0
T0082,0.2955607778573148,0.29218778172332893,0.2955607778573148,0.29218778172332893,1,1,2,0,2,-0.003372996133985895,-0.003372996133985895,0.003372996133985895,3.1.1,3.1.1.i1,3,0.0098319473319473,0
T0083,1.8984967445587984,1.231049439910824,0.4746241861396996,0.615524719955412,4,2,5,1,4,-0.6674473046479743,0.14090053381571244,0.14090053381571244,2.2.1.1,2.2.1.1.1,2,0.0081668368091001,-2
