pid1,pid2,support
T0091,T0008,0.49256
T0008,T0022,1.0
T0110,T0049,0.43292
T0091,T0110,0.99984
T0049,T0149,0.82486
T0189,T0165,0.64358
T0189,T0169,0.68174
T0169,T0185,0.4185
T0022,T0189,0.56924
T0169,T0191,0.47284
T0169,T0192,0.4326
T0189,T0197,0.4593
T0149,T0205,0.81096
T0165,T0229,0.67884
T0165,T0227,0.77988
T0169,T0255,0.84864
T0110,T0257,0.99848
T0255,T0274,0.69854
T0255,T0289,0.7926
T0255,T0345,0.87056
T0274,T0369,0.91078
T0369,T0376,0.52762
T0389,T0386,0.30896
T0345,T0389,0.5234
T0369,T0394,0.83462
T0389,T0417,0.8084
T0197,T0456,0.72422
T0389,T0459,0.92522
