"sample_id","failed","reason","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop"
"S0004-m5.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-819.022072838228,0.000922222222222222,0,1.55129269155161e-14,24.4196,1,9,"4.3.2.1",0.7062
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-819.022072838228,0.000922222222222222,0,1.55129269155161e-14,24.4196,2,65,"2.2.M1.1",0.1622
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-819.022072838228,0.000922222222222222,0,1.55129269155161e-14,24.4196,3,91,"4.7",0.1316
"S0029-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0032-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0064-01.filtered.vcf.gz",FALSE,NA,1,-674.083180903473,0.00215555555555556,0,-1,Inf,1,40,"2.2.M4.4",1
"S0103-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0115-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0189-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0194-01.filtered.vcf.gz",FALSE,NA,3,-1467.1688389708,0.0011962962962963,0,9.07980223715034e-10,34.1701,1,9,"4.3.2.1",0.4386
"S0194-01.filtered.vcf.gz",FALSE,NA,3,-1467.1688389708,0.0011962962962963,0,9.07980223715034e-10,34.1701,2,40,"2.2.M4.4",0.4551
"S0194-01.filtered.vcf.gz",FALSE,NA,3,-1467.1688389708,0.0011962962962963,0,9.07980223715034e-10,34.1701,3,156,"4.1.1.3",0.1063
"S0222-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0229-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0247-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0261-01.filtered.vcf.gz",FALSE,NA,3,-1107.83225388855,0.00147037037037037,0,6.58820922290769e-06,39.4579,1,40,"2.2.M4.4",0.7588
"S0261-01.filtered.vcf.gz",FALSE,NA,3,-1107.83225388855,0.00147037037037037,0,6.58820922290769e-06,39.4579,2,26,"3.5.1",0.1174
"S0261-01.filtered.vcf.gz",FALSE,NA,3,-1107.83225388855,0.00147037037037037,0,6.58820922290769e-06,39.4579,3,148,"4.1.1",0.1238
"S0267-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0269-04.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0272-01.filtered.vcf.gz",FALSE,NA,1,-637.081727382607,0.0011962962962963,0,-1,Inf,1,115,"2.2.M1.4",1
"S0274-08.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0278-06.filtered.vcf.gz",FALSE,NA,3,-1400.31539693022,0.00174444444444444,0,2.11896540114871e-42,66.3267,1,57,"4.1.1.1",0.5215
"S0278-06.filtered.vcf.gz",FALSE,NA,3,-1400.31539693022,0.00174444444444444,0,2.11896540114871e-42,66.3267,2,40,"2.2.M4.4",0.1844
"S0278-06.filtered.vcf.gz",FALSE,NA,3,-1400.31539693022,0.00174444444444444,0,2.11896540114871e-42,66.3267,3,12,"4.3.3",0.2941
"S0279-06.filtered.vcf.gz",FALSE,NA,3,-1783.08198805421,0.00242962962962963,0,1.29116308650941e-34,52.6841,1,57,"4.1.1.1",0.6223
"S0279-06.filtered.vcf.gz",FALSE,NA,3,-1783.08198805421,0.00242962962962963,0,1.29116308650941e-34,52.6841,2,155,"2.2.M2",0.2098
"S0279-06.filtered.vcf.gz",FALSE,NA,3,-1783.08198805421,0.00242962962962963,0,1.29116308650941e-34,52.6841,3,9,"4.3.2.1",0.1679
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,3,-1261.49412440895,0.00197283950617284,0,1.71122441103021e-13,39.2847,1,128,"4.9",0.5071
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,3,-1261.49412440895,0.00197283950617284,0,1.71122441103021e-13,39.2847,2,9,"4.3.2.1",0.3501
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,3,-1261.49412440895,0.00197283950617284,0,1.71122441103021e-13,39.2847,3,32,"2.2.AA1",0.1428
"S0280-06.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0281-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0288-01.filtered.vcf.gz",FALSE,NA,3,-1152.90181575932,0.0019119341563786,0,8.70851451503959e-38,73.802,1,9,"4.3.2.1",0.2277
"S0288-01.filtered.vcf.gz",FALSE,NA,3,-1152.90181575932,0.0019119341563786,0,8.70851451503959e-38,73.802,2,65,"2.2.M1.1",0.4148
"S0288-01.filtered.vcf.gz",FALSE,NA,3,-1152.90181575932,0.0019119341563786,0,8.70851451503959e-38,73.802,3,128,"4.9",0.3575
"S0291-09.filtered.vcf.gz",FALSE,NA,2,-985.226576331401,0.00215555555555556,0,2.51889704003298e-07,11.2343,1,158,"4.1.2",0.8541
"S0291-09.filtered.vcf.gz",FALSE,NA,2,-985.226576331401,0.00215555555555556,0,2.51889704003298e-07,11.2343,2,57,"4.1.1.1",0.1459
"S0298-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0301-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0307-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0314-m5.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0325-01.filtered.vcf.gz",FALSE,NA,3,-686.739542893254,0.000922222222222222,0.006,0.0024300841931852,13.3086,1,40,"2.2.M4.4",0.7953
"S0325-01.filtered.vcf.gz",FALSE,NA,3,-686.739542893254,0.000922222222222222,0.006,0.0024300841931852,13.3086,2,57,"4.1.1.1",0.1242
"S0325-01.filtered.vcf.gz",FALSE,NA,3,-686.739542893254,0.000922222222222222,0.006,0.0024300841931852,13.3086,3,159,"4.8",0.0805
"S0326-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0334-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0334-01B.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0338-01.filtered.vcf.gz",FALSE,NA,1,-297.287982932864,0.000465432098765432,0,-1,Inf,1,9,"4.3.2.1",1
"S0340-01.filtered.vcf.gz",FALSE,NA,3,-1702.83520849329,0.00229259259259259,0,1.03083286651306e-16,32.6715,1,128,"4.9",0.633
"S0340-01.filtered.vcf.gz",FALSE,NA,3,-1702.83520849329,0.00229259259259259,0,1.03083286651306e-16,32.6715,2,40,"2.2.M4.4",0.2203
"S0340-01.filtered.vcf.gz",FALSE,NA,3,-1702.83520849329,0.00229259259259259,0,1.03083286651306e-16,32.6715,3,9,"4.3.2.1",0.1467
"S0341-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0348-01.filtered.vcf.gz",FALSE,NA,3,-1578.61162365866,0.00284074074074074,0,1.85773620937891e-10,28.7787,1,128,"4.9",0.569
"S0348-01.filtered.vcf.gz",FALSE,NA,3,-1578.61162365866,0.00284074074074074,0,1.85773620937891e-10,28.7787,2,65,"2.2.M1.1",0.2982
"S0348-01.filtered.vcf.gz",FALSE,NA,3,-1578.61162365866,0.00284074074074074,0,1.85773620937891e-10,28.7787,3,9,"4.3.2.1",0.1328
"S0351-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0370-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0372-01.filtered.vcf.gz",FALSE,NA,1,-463.465373887502,0.0011962962962963,0,-1,Inf,1,65,"2.2.M1.1",1
