"sample_id","failed","reason","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop"
"S0004-m5.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-822.850264228536,0.000922222222222222,0,0.00761729421418538,17.1353,1,9,"4.3.2.1",0.742
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-822.850264228536,0.000922222222222222,0,0.00761729421418538,17.1353,2,65,"2.2.M1.1",0.1848
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-822.850264228536,0.000922222222222222,0,0.00761729421418538,17.1353,3,120,"4.1",0.0732
"S0029-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0032-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0064-01.filtered.vcf.gz",FALSE,NA,1,-678.421812944151,0.00215555555555556,0,-1,Inf,1,40,"2.2.M4.4",1
"S0103-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0115-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0189-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0194-01.filtered.vcf.gz",FALSE,NA,3,-1470.37452786541,0.0011962962962963,0,8.36192323537369e-10,34.251,1,9,"4.3.2.1",0.4382
"S0194-01.filtered.vcf.gz",FALSE,NA,3,-1470.37452786541,0.0011962962962963,0,8.36192323537369e-10,34.251,2,40,"2.2.M4.4",0.4558
"S0194-01.filtered.vcf.gz",FALSE,NA,3,-1470.37452786541,0.0011962962962963,0,8.36192323537369e-10,34.251,3,156,"4.1.1.3",0.106
"S0222-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0229-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0247-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0261-01.filtered.vcf.gz",FALSE,NA,3,-1111.08624543405,0.00147037037037037,0,8.46698153459747e-06,39.4714,1,40,"2.2.M4.4",0.7591
"S0261-01.filtered.vcf.gz",FALSE,NA,3,-1111.08624543405,0.00147037037037037,0,8.46698153459747e-06,39.4714,2,26,"3.5.1",0.1176
"S0261-01.filtered.vcf.gz",FALSE,NA,3,-1111.08624543405,0.00147037037037037,0,8.46698153459747e-06,39.4714,3,148,"4.1.1",0.1233
"S0267-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0269-04.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0272-01.filtered.vcf.gz",FALSE,NA,1,-637.240930035784,0.0011962962962963,0,-1,Inf,1,115,"2.2.M1.4",1
"S0274-08.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0278-06.filtered.vcf.gz",FALSE,NA,3,-1403.36711123363,0.00174444444444444,0,1.17405252630213e-42,66.981,1,57,"4.1.1.1",0.5209
"S0278-06.filtered.vcf.gz",FALSE,NA,3,-1403.36711123363,0.00174444444444444,0,1.17405252630213e-42,66.981,2,40,"2.2.M4.4",0.1845
"S0278-06.filtered.vcf.gz",FALSE,NA,3,-1403.36711123363,0.00174444444444444,0,1.17405252630213e-42,66.981,3,12,"4.3.3",0.2946
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,3,-1266.81699981287,0.00197283950617284,0,1.66330709387752e-13,39.2968,1,128,"4.9",0.5074
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,3,-1266.81699981287,0.00197283950617284,0,1.66330709387752e-13,39.2968,2,9,"4.3.2.1",0.3498
"S0279-06_K064731.filtered.vcf.gz",FALSE,NA,3,-1266.81699981287,0.00197283950617284,0,1.66330709387752e-13,39.2968,3,32,"2.2.AA1",0.1428
"S0279-06.filtered.vcf.gz",FALSE,NA,3,-1790.05926353127,0.00242962962962963,0,2.6110582698446e-76,53.0426,1,57,"4.1.1.1",0.6217
"S0279-06.filtered.vcf.gz",FALSE,NA,3,-1790.05926353127,0.00242962962962963,0,2.6110582698446e-76,53.0426,2,155,"2.2.M2",0.2102
