"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed"
"S0030-01.filtered.vcf.gz",3,-2514.32672178889,0.000922222222222222,0,8.64722357636279e-104,10.0239,1,40,"2.2.M4.4",0.8553,FALSE
"S0030-01.filtered.vcf.gz",3,-2514.32672178889,0.000922222222222222,0,8.64722357636279e-104,10.0239,2,9,"4.3.2.1",0.1149,FALSE
"S0030-01.filtered.vcf.gz",3,-2514.32672178889,0.000922222222222222,0,8.64722357636279e-104,10.0239,3,96,"3.1.1.1",0.0298,FALSE
"S0201-01.filtered.vcf.gz",3,-2389.45422779667,0.000678600823045267,0,2.29534627785136e-95,7.38880000000001,1,40,"2.2.M4.4",0.8317,FALSE
"S0201-01.filtered.vcf.gz",3,-2389.45422779667,0.000678600823045267,0,2.29534627785136e-95,7.38880000000001,2,9,"4.3.2.1",0.1484,FALSE
"S0201-01.filtered.vcf.gz",3,-2389.45422779667,0.000678600823045267,0,2.29534627785136e-95,7.38880000000001,3,96,"3.1.1.1",0.0199,FALSE
"S0209-01.filtered.vcf.gz",3,-5623.67874064088,0.000678600823045267,0,1.1142112855383e-95,6.78489999999999,1,40,"2.2.M4.4",0.8688,FALSE
"S0209-01.filtered.vcf.gz",3,-5623.67874064088,0.000678600823045267,0,1.1142112855383e-95,6.78489999999999,2,9,"4.3.2.1",0.1126,FALSE
"S0209-01.filtered.vcf.gz",3,-5623.67874064088,0.000678600823045267,0,1.1142112855383e-95,6.78489999999999,3,96,"3.1.1.1",0.0186,FALSE
"S0214-01.filtered.vcf.gz",3,-3079.57030036343,0.000617695473251029,0,4.25380694006388e-20,7.2149,1,40,"2.2.M4.4",0.8664,FALSE
"S0214-01.filtered.vcf.gz",3,-3079.57030036343,0.000617695473251029,0,4.25380694006388e-20,7.2149,2,9,"4.3.2.1",0.1138,FALSE
"S0214-01.filtered.vcf.gz",3,-3079.57030036343,0.000617695473251029,0,4.25380694006388e-20,7.2149,3,96,"3.1.1.1",0.0198,FALSE
"S0220-01.filtered.vcf.gz",3,-5308.95973953973,0.000739506172839506,0,3.00164815206923e-54,7.59190000000001,1,40,"2.2.M4.4",0.8631,FALSE
"S0220-01.filtered.vcf.gz",3,-5308.95973953973,0.000739506172839506,0,3.00164815206923e-54,7.59190000000001,2,9,"4.3.2.1",0.1162,FALSE
"S0220-01.filtered.vcf.gz",3,-5308.95973953973,0.000739506172839506,0,3.00164815206923e-54,7.59190000000001,3,96,"3.1.1.1",0.0207,FALSE
"S0223-01.filtered.vcf.gz",3,-2585.52794428615,0.00055679012345679,0,1.47080405774813e-17,7.7311,1,40,"2.2.M4.4",0.8662,FALSE
"S0223-01.filtered.vcf.gz",3,-2585.52794428615,0.00055679012345679,0,1.47080405774813e-17,7.7311,2,9,"4.3.2.1",0.1126,FALSE
"S0223-01.filtered.vcf.gz",3,-2585.52794428615,0.00055679012345679,0,1.47080405774813e-17,7.7311,3,96,"3.1.1.1",0.0212,FALSE
"S0089-01.filtered.vcf.gz",3,-7540.6719272229,0.0011962962962963,0,5.23278323562849e-90,21.2496,1,40,"2.2.M4.4",0.8386,FALSE
"S0089-01.filtered.vcf.gz",3,-7540.6719272229,0.0011962962962963,0,5.23278323562849e-90,21.2496,2,9,"4.3.2.1",0.0922,FALSE
"S0089-01.filtered.vcf.gz",3,-7540.6719272229,0.0011962962962963,0,5.23278323562849e-90,21.2496,3,57,"4.1.1.1",0.0692,FALSE
"S0150-01.filtered.vcf.gz",3,-6153.20955100838,0.000922222222222222,0,2.51286784591531e-46,14.6313,1,40,"2.2.M4.4",0.8457,FALSE
"S0150-01.filtered.vcf.gz",3,-6153.20955100838,0.000922222222222222,0,2.51286784591531e-46,14.6313,2,9,"4.3.2.1",0.1067,FALSE
"S0150-01.filtered.vcf.gz",3,-6153.20955100838,0.000922222222222222,0,2.51286784591531e-46,14.6313,3,57,"4.1.1.1",0.0476,FALSE
"S0157-01.filtered.vcf.gz",3,-4929.17835370606,0.0011962962962963,0,6.2283560194453e-42,17.6085,1,40,"2.2.M4.4",0.8321,FALSE
"S0157-01.filtered.vcf.gz",3,-4929.17835370606,0.0011962962962963,0,6.2283560194453e-42,17.6085,2,9,"4.3.2.1",0.1107,FALSE
"S0157-01.filtered.vcf.gz",3,-4929.17835370606,0.0011962962962963,0,6.2283560194453e-42,17.6085,3,57,"4.1.1.1",0.0572,FALSE
"S0170-01.filtered.vcf.gz",3,-8751.20013039717,0.0011962962962963,0,6.2380054707037e-45,16.1786,1,40,"2.2.M4.4",0.8431,FALSE
"S0170-01.filtered.vcf.gz",3,-8751.20013039717,0.0011962962962963,0,6.2380054707037e-45,16.1786,2,9,"4.3.2.1",0.1042,FALSE
"S0170-01.filtered.vcf.gz",3,-8751.20013039717,0.0011962962962963,0,6.2380054707037e-45,16.1786,3,57,"4.1.1.1",0.0527,FALSE
"S0180-01.filtered.vcf.gz",3,-2513.71239922784,0.000922222222222222,0,1.91584823670932e-29,18.6344,1,40,"2.2.M4.4",0.8291,FALSE
