sample_id,n_phy,likelihood,error_rate,p_val_perm,p_val_wsrst,abs_diff,mix_index,mix_node,mix_phylotype,mix_prop,failed
MFS-100.filtered.vcf.gz,1,-3330.66320959164,0.0001,0.0,-1.0,inf,1,141,4.4.1.1,1.0,False
MFS-101.filtered.vcf.gz,1,-3755.59366378784,0.0001,0.0,-1.0,inf,1,141,4.4.1.1,1.0,False
MFS-102.filtered.vcf.gz,1,-5894.38915461833,0.0005567901234567,0.0,-1.0,inf,1,156,4.1.1.3,1.0,False
MFS-103.filtered.vcf.gz,1,-3455.87226725863,0.0001,0.0,-1.0,inf,1,57,4.1.1.1,1.0,False
MFS-104.filtered.vcf.gz,1,-3483.76526776467,0.0001,0.0,-1.0,inf,1,159,4.8,1.0,False
MFS-105.filtered.vcf.gz,1,-2932.65817277065,0.0001,0.0,-1.0,inf,1,159,4.8,1.0,False
MFS-106.filtered.vcf.gz,1,-4441.53818292218,0.0001,0.0,-1.0,inf,1,12,4.3.3,1.0,False
MFS-107.filtered.vcf.gz,1,-3031.9803317126,0.0001,0.0,-1.0,inf,1,57,4.1.1.1,1.0,False
MFS-108.filtered.vcf.gz,1,-4794.29340270879,0.0005567901234567,0.0,-1.0,inf,1,40,2.2.M4.4,1.0,False
MFS-109.filtered.vcf.gz,1,-4765.47762795326,0.0001,0.0,-1.0,inf,1,40,2.2.M4.4,1.0,False
MFS-10.filtered.vcf.gz,1,-2713.11741455166,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-110.filtered.vcf.gz,1,-4645.6884366219,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-111.filtered.vcf.gz,1,-2906.20745614551,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-112.filtered.vcf.gz,1,-2834.26670828908,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-113.filtered.vcf.gz,1,-4798.5544066343,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-114.filtered.vcf.gz,1,-4659.61393696167,0.0001,0.0,-1.0,inf,1,40,2.2.M4.4,1.0,False
MFS-115.filtered.vcf.gz,1,-4763.12273602427,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-116.filtered.vcf.gz,1,-4359.21049790895,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-117.filtered.vcf.gz,1,-2375.48463128238,0.0001,0.0,-1.0,inf,1,159,4.8,1.0,False
MFS-118.filtered.vcf.gz,1,-4004.52026374965,0.0001,0.0,-1.0,inf,1,30,4.4.1.1.1,1.0,False
MFS-119.filtered.vcf.gz,1,-4888.85264209257,0.0005567901234567,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-11.filtered.vcf.gz,1,-2813.54490500012,0.0001,0.0,-1.0,inf,1,156,4.1.1.3,1.0,False
MFS-120.filtered.vcf.gz,1,-4752.82027738317,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-121.filtered.vcf.gz,1,-5165.47174602831,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-122.filtered.vcf.gz,1,-4961.97588554545,0.0005567901234567,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-123.filtered.vcf.gz,1,-5210.72111327998,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-124.filtered.vcf.gz,1,-4881.13329568945,0.0005567901234567,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-125.filtered.vcf.gz,1,-2609.07517202659,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-126.filtered.vcf.gz,1,-3549.05256454883,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-127.filtered.vcf.gz,1,-3503.96948977534,0.0004654320987654,0.0,-1.0,inf,1,96,3.1.1.1,1.0,False
MFS-128.filtered.vcf.gz,1,-2603.17292405975,0.0001,0.0,-1.0,inf,1,96,3.1.1.1,1.0,False
MFS-129.filtered.vcf.gz,1,-5021.91905048305,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-12.filtered.vcf.gz,1,-3110.39728212806,0.0001,0.0,-1.0,inf,1,156,4.1.1.3,1.0,False
MFS-130.filtered.vcf.gz,1,-4625.38604776433,0.0004958847736625,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-131.filtered.vcf.gz,1,-2643.55057041531,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-132.filtered.vcf.gz,1,-5106.83733039716,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-133.filtered.vcf.gz,2,-5220.66241521383,0.000617695473251,0.001,3.4329483677077903e-10,0.714999999999999,1,40,2.2.M4.4,0.9857,False
MFS-133.filtered.vcf.gz,2,-5220.66241521383,0.000617695473251,0.001,3.4329483677077903e-10,0.714999999999999,2,65,2.2.M1.1,0.0143,False
MFS-134.filtered.vcf.gz,2,-5387.32113085439,0.000617695473251,0.0,3.8454070332969103e-10,21.075,1,65,2.2.M1.1,0.5785,False
MFS-134.filtered.vcf.gz,2,-5387.32113085439,0.000617695473251,0.0,3.8454070332969103e-10,21.075,2,40,2.2.M4.4,0.4215,False
MFS-135.filtered.vcf.gz,1,-4169.56776673495,0.0001,0.0,-1.0,inf,1,43,3.1.3.1,1.0,False
MFS-136.filtered.vcf.gz,1,-3568.80290830889,0.0004958847736625,0.0,-1.0,inf,1,57,4.1.1.1,1.0,False
MFS-137.filtered.vcf.gz,1,-4186.65617624982,0.0001,0.0,-1.0,inf,1,57,4.1.1.1,1.0,False
MFS-138.filtered.vcf.gz,1,-5033.27890736387,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-139.filtered.vcf.gz,1,-5317.15384178181,0.0006786008230452,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-13.filtered.vcf.gz,1,-4841.95754531453,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-140.filtered.vcf.gz,1,-3526.73293465714,0.0004958847736625,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-141.filtered.vcf.gz,1,-3107.6715490041,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-142.filtered.vcf.gz,1,-5151.02242491283,0.000617695473251,0.0,-1.0,inf,1,110,2.2.M4.8,1.0,False
MFS-143.filtered.vcf.gz,1,-4987.74506643377,0.0001,0.0,-1.0,inf,1,110,2.2.M4.8,1.0,False
MFS-144.filtered.vcf.gz,1,-4522.86388281676,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-145.filtered.vcf.gz,2,-3770.87326917344,0.0001,0.0,3.29098706279257e-38,24.97,1,159,4.8,0.8865,False
MFS-145.filtered.vcf.gz,2,-3770.87326917344,0.0001,0.0,3.29098706279257e-38,24.97,2,65,2.2.M1.1,0.1135,False
MFS-146.filtered.vcf.gz,1,-4074.66685273179,0.000617695473251,0.0,-1.0,inf,1,159,4.8,1.0,False
MFS-147.filtered.vcf.gz,1,-3621.49348064784,0.0001,0.0,-1.0,inf,1,159,4.8,1.0,False
MFS-148.filtered.vcf.gz,1,-4342.19773238418,0.0001,0.0,-1.0,inf,1,89,4.3.4.1,1.0,False
MFS-149.filtered.vcf.gz,1,-4490.19049935043,0.0004654320987654,0.0,-1.0,inf,1,89,4.3.4.1,1.0,False
MFS-14.filtered.vcf.gz,1,-4651.00811042322,0.0001,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-150.filtered.vcf.gz,1,-3651.80659773009,0.0004958847736625,0.0,-1.0,inf,1,30,4.4.1.1.1,1.0,False
MFS-151.filtered.vcf.gz,1,-3400.57370441314,0.0001,0.0,-1.0,inf,1,30,4.4.1.1.1,1.0,False
MFS-152.filtered.vcf.gz,1,-5193.46187056017,0.000617695473251,0.0,-1.0,inf,1,12,4.3.3,1.0,False
MFS-153.filtered.vcf.gz,1,-4800.63184490777,0.0005567901234567,0.0,-1.0,inf,1,12,4.3.3,1.0,False
MFS-154.filtered.vcf.gz,1,-3428.18855998522,0.0004654320987654,0.0,-1.0,inf,1,96,3.1.1.1,1.0,False
MFS-155.filtered.vcf.gz,1,-2616.24341489312,0.0001,0.0,-1.0,inf,1,96,3.1.1.1,1.0,False
MFS-156.filtered.vcf.gz,1,-5402.30113034833,0.0006786008230452,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-157.filtered.vcf.gz,1,-4721.83807071217,0.0005567901234567,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-158.filtered.vcf.gz,1,-5033.23852030482,0.0005567901234567,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-159.filtered.vcf.gz,1,-4506.66536972588,0.0004654320987654,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-15.filtered.vcf.gz,1,-4446.74515421202,0.000617695473251,0.0,-1.0,inf,1,43,3.1.3.1,1.0,False
MFS-160.filtered.vcf.gz,1,-3799.23187915723,0.0005567901234567,0.0,-1.0,inf,1,9,4.3.2.1,1.0,False
MFS-161.filtered.vcf.gz,1,-4840.84406115934,0.0001,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-162.filtered.vcf.gz,1,-5045.72347396924,0.000617695473251,0.0,-1.0,inf,1,93,2.2.M4.3,1.0,False
MFS-163.filtered.vcf.gz,1,-5096.35699721115,0.000617695473251,0.0,-1.0,inf,1,93,2.2.M4.3,1.0,False
MFS-164.filtered.vcf.gz,1,-5110.13275274863,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-165.filtered.vcf.gz,1,-4824.43960895108,0.0005567901234567,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-166.filtered.vcf.gz,1,-5044.15804957438,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-167.filtered.vcf.gz,1,-5457.94815488034,0.0006786008230452,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-168.filtered.vcf.gz,3,-5962.61462312787,0.000617695473251,0.0,5.01935957424237e-24,3.19549999999999,1,156,4.1.1.3,0.4882,False
MFS-168.filtered.vcf.gz,3,-5962.61462312787,0.000617695473251,0.0,5.01935957424237e-24,3.19549999999999,2,65,2.2.M1.1,0.4991,False
MFS-168.filtered.vcf.gz,3,-5962.61462312787,0.000617695473251,0.0,5.01935957424237e-24,3.19549999999999,3,141,4.4.1.1,0.0127,False
MFS-169.filtered.vcf.gz,1,-5141.04333049177,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-16.filtered.vcf.gz,1,-4934.60980031137,0.0001,0.0,-1.0,inf,1,40,2.2.M4.4,1.0,False
MFS-170.filtered.vcf.gz,1,-5290.88908265034,0.000617695473251,0.0,-1.0,inf,1,65,2.2.M1.1,1.0,False
MFS-171.filtered.vcf.gz,1,-3438.56156232574,0.0004654320987654,0.0,-1.0,inf,1,57,4.1.1.1,1.0,False
