covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,Indel
INH_AUC,0.03224000468194053,0.00021885714643779275,4.7871970509242486e-05,0.0002683248492973433,0.01638062420353215,0.22602735923732387,1.9681792513736214,853.2500045797915,0.18435751660381294,204.74537995314756,165.1226450858636,0.04937083428542937,1.96274814237106,8.896495557937645e-05,0.06439104440830168,0.9682741638568547,0.9376382696292159,0.999911039001685,Rv0043c_c.-98_-97insCC
Indel_Change,12.03866317997923,1664.805461635232,226.8186597028169,1899.1847433281428,43.57963679665243,0.14078478662767901,0.2762451471579033,1904.1185574573444,0.12341046994837539,220.04451711006837,197.24985031168058,0.7823897623935925,1.9612106265826932,-73.43018360822968,97.50750996818813,5.9111912602543685e-06,4.498072764818712e-43,7.768256304923582e+31,Rv0043c_c.-98_-97insCC
Indel_Sample1,0.917100140449664,0.7112719075898889,0.10394314332753514,0.8186798223616752,0.9048092740250153,0.1510082341586257,1.0135839306442707,1684.820354989733,0.1311964846793742,218.0900449278674,193.09503323488448,0.31092686235200023,1.9613730056122134,-0.857568344850585,2.691768625749913,0.39967636756290015,0.06776098949894445,2.357421282798163,Rv0043c_c.-98_-97insCC
Lineage_3,-0.5334307914347245,0.4879313169952763,0.05568280578035276,0.5454702163016408,0.7385595550134334,0.11792417765003095,-0.7222583308464842,2606.2554645585515,0.1054849514910012,224.54424237220812,206.7329798307209,0.4702004648867436,1.9608746222767428,-1.98165347990057,0.9147918970311211,1.704771000972051,0.40059998346295117,7.254728621385544,Rv0043c_c.-98_-97insCC
Lineage_4,0.24682071378462214,0.03222598935092444,0.012716374623529108,0.04536624312857118,0.2129935283725099,0.40775330850377145,1.1588179024526557,345.66557023688483,0.289648268656638,178.31493343588724,117.63287510857633,0.2473303452288175,1.9668505774412781,-0.1721057304861042,0.6657471580553485,0.781280753845064,0.5138894276073636,1.187803413607268,Rv0043c_c.-98_-97insCC
PZA_AUC,-0.0030398823939646476,3.686366709518834e-06,9.229305274305339e-07,4.640061587863719e-06,0.0021540802185303406,0.2587086292533731,-1.4112206072059197,686.4779424194164,0.20553496118226428,199.42934501759893,154.53518485190986,0.15863261452748734,1.9634256955096332,-0.0072692588452161234,0.0011894940572868286,1.0030445075218766,0.9988112131103509,1.0072957440443233,Rv0043c_c.-98_-97insCC
RIF_AUC,1.1107842877583092,0.20293352104738835,0.027632354729701724,0.2314869542680801,0.4811309117777407,0.14070338440549743,2.308694495753867,1906.0503571272507,0.12334791526793626,220.06021980098393,197.2831823014466,0.02106706429282336,1.9612093623105065,0.16718583908281381,2.0543827364338045,0.32930059334694356,0.12817192702564809,0.8460423689888794,Rv0043c_c.-98_-97insCC
diabetes,0.5833570755390455,0.1438829712594939,0.027512634885852327,0.17231269397487461,0.41510564194536625,0.19758921063777274,1.4053219628747504,1065.3376969648402,0.16498913724560627,209.60729711844863,175.14681512966143,0.1602170996984358,1.9621932522020311,-0.2311604140371446,1.3978745651152356,0.5580218969421005,0.2471216471236941,1.260061354766699,Rv0043c_c.-98_-97insCC
inh_resistant,0.23167656473378223,0.13119079877485765,0.024958663564311753,0.15698141779131314,0.39620880579728807,0.1965886270783053,0.5847335075442889,1074.4122716967054,0.1642909038491475,209.78257006580503,175.51306105343895,0.5588496858995696,1.9621744027608645,-0.5457542121501069,1.0091073416176712,0.7932026315268379,0.3645442478517707,1.7259095936055782,Rv0043c_c.-98_-97insCC
screen_years,-0.02651492556785789,5.288834322501005e-05,1.7012223391457533e-05,7.046764072951616e-05,0.008394500624189396,0.3323851047803886,-3.158606658679982,465.98767362425383,0.24946624184542668,188.40156393175465,134.15991805063172,0.0016882600432529078,1.965067853537231,-0.043010688890950693,-0.010019162244765088,1.0268695737588078,1.0100695220981368,1.0439490534485663,Rv0043c_c.-98_-97insCC
