T0001,MFS-331,4,4.3.2.1
T0002,MFS-509,4,4.8
T0003,MFS-511,2,2.2.1
T0004,MFS-1,2,2.2.1.1
T0005,MFS-332,2,2.2.1.1
T0007,MFS-3,2,2.2.1
T0008,MFS-4,4,4.1.1.1
T0009,MFS-334,4,4.1.2.1
T0010,MFS-337,2,2.2.1.1
T0011,MFS-514,2,2.2.1.1
T0012,MFS-516,4,4.1.1.3
T0013,MFS-5,3,3.1.1
T0014,MFS-518,4,4.1.1.3
T0016,MFS-519,4,4.3.3
T0017,MFS-520,1,1.1.2
T0018,MFS-7,2,2.2.1.1
T0019,MFS-521,4,4.3.3
T0020,MFS-523,3,3.1.1
T0021,MFS-9,4,4.3.2.1
T0022,MFS-524,4,4.1.1.1
T0023,MFS-526,4,4.1.1.3
T0024,MFS-11,4,4.1.1.3
T0025,MFS-528,2,2.2.1
T0026,MFS-338,2,2.2.1.1
T0028,MFS-13,4,4.3.2.1
T0029,MFS-530,4,4.3.2.1
T0030,MFS-15,3,3
T0031,MFS-16,2,2.2.1
T0032,MFS-531,2,2.2.1.1
T0033,MFS-18,2,2.2.1
T0034,MFS-533,2,2.2.1
T0035,MFS-340,2,2.2.1.1
T0036,MFS-535,4,4.9
T0038,MFS-342,2,2.2.1.1
T0039,MFS-20,3,3.1.1
T0040,MFS-719,2,2.2.1.1
T0041,MFS-22,2,2.2.1.1
T0042,MFS-721,4,4.3.4.2.1
T0043,MFS-723,2,2.2.1.1
T0044,MFS-537,2,2.2.1.1
T0045,MFS-25,4,4.3.2.1
T0046,MFS-539,2,2.2.1
T0047,MFS-27,4,4.8
T0048,MFS-725,4,4.4.1.1
T0049,MFS-28,4,4.1.1.1
T0051,MFS-727,4,4.4.1.1
T0052,MFS-30,2,2.2.1.1
T0053,MFS-32,2,2.2.1.1
T0054,MFS-542,4,4.3.2.1
T0055,MFS-33,2,2.2.1.1
T0056,MFS-35,4,4.2.2
T0057,MFS-544,4,4.1.2.1
T0058,MFS-546,3,3
T0059,MFS-344,2,2.2.1.1
T0060,MFS-548,2,2.2.1.1
T0061,MFS-346,2,2.2.1.1
T0063,MFS-550,2,2.2.1
T0064,MFS-37,2,2.2.1
T0065,MFS-729,4,4.3.3
T0066,MFS-40,2,2.2.1.1
T0067,MFS-551,2,2.2.1
T0068,MFS-553,3,3.1.1
T0069,MFS-348,2,2.2.1.1
T0070,MFS-41,2,2.2.1
T0071,MFS-555,2,2.2.1.1
T0072,MFS-351,4,4.1.2.1
T0073,MFS-557,3,3.1.1
T0075,MFS-558,2,2.2.1
T0076,MFS-559,4,4.1.2
T0077,MFS-43,4,4.1.2.1
T0078,MFS-732,2,2.2.1
T0079,MFS-45,2,2.2.1.1
T0080,MFS-560,4,4.3.4.2.1
T0081,MFS-563,2,2.2.1.1
T0082,MFS-47,3,3.1.1
T0083,MFS-49,2,2.2.1.1
T0085,MFS-51,2,2.2.1.1
T0086,MFS-53,3,3.1.1
T0087,MFS-354,4,4.8
T0088,MFS-734,2,2.2.1.1
T0089,MFS-54,2,2.2.1.1
T0090,MFS-355,2,2.2.1.1
T0091,MFS-564,4,4.1.1.1
T0092,MFS-357,2,2.2.1
T0096,MFS-737,3,3.1.1
T0097,MFS-566,3,3
T0099,MFS-738,2,2.2.1
T0100,MFS-55,2,2.2.1
T0102,MFS-739,2,2.2.1
T0103,MFS-571,3,3.1.1
T0104,MFS-359,2,2.2.1.1
T0106,MFS-56,4,4.1.1.3
T0107,MFS-58,2,2.2.1.1
T0108,MFS-360,2,2.2.1
T0110,MFS-573,4,4.1.1.1
T0111,MFS-362,2,2.2.1.1
T0112,MFS-574,3,3.1.1
T0113,MFS-741,4,4.1.2.1
T0114,MFS-364,4,4.3.2.1
T0115,MFS-575,2,2.2.1
T0116,MFS-578,2,2.2.1.1
T0117,MFS-579,4,4.4.1.1
T0118,MFS-366,4,4.8
T0119,MFS-581,4,4.3.3
T0120,MFS-583,2,2.2.1
T0121,MFS-584,4,4.7
T0122,MFS-586,4,4.3.3
T0123,MFS-60,4,4.4.1.1
T0124,MFS-368,2,2.2.1
T0125,MFS-588,4,4.1
T0126,MFS-590,4,4.1.2.1
T0127,MFS-592,2,2.2.1.1
T0128,MFS-594,4,4.3.2.1
T0129,MFS-596,4,4.3.2.1
T0130,MFS-62,2,2.2.1.1
T0131,MFS-64,2,2.2.1.1
T0132,MFS-743,4,4.4.1.1
T0133,MFS-597,4,4.8
T0134,MFS-745,4,4.7
T0135,MFS-66,2,2.2.1.1
T0136,MFS-369,2,2.2.1.1
T0137,MFS-746,4,4.1.2
T0139,MFS-601,2,2.2.1
T0140,MFS-68,4,4.3.4.1
T0141,MFS-70,2,2.2.1
T0142,MFS-71,2,2.2.1.1
T0143,MFS-72,4,4.3.3
T0144,MFS-370,2,2.2.1.1
T0146,MFS-747,4,4.3.2.1
T0147,MFS-602,4,4.1.2.1
T0148,MFS-603,4,4.4.1.1
T0149,MFS-604,4,4.1.1.1
T0150,MFS-74,2,2.2.1.1
T0151,MFS-606,2,2.2.1
T0152,MFS-609,4,4.3.4.2.1
