SampleID	Lineage
MFS-877	4
MFS-755	4
MFS-194	4
MFS-878	4
MFS-635	4
MFS-602	4
MFS-316	2
MFS-315	2
MFS-737	3
MFS-741	4
MFS-753	2
MFS-754	4
MFS-756	2
MFS-761	2
MFS-324	2
MFS-767	4
MFS-424	4
MFS-768	2
MFS-426	2
MFS-673	2
MFS-812	2
MFS-513	4
MFS-4	4
MFS-520	1
MFS-557	3
MFS-566	3
MFS-583	2
MFS-611	2
MFS-616	2
MFS-199	2
MFS-632	2
MFS-636	2
MFS-637	4
MFS-640	2
MFS-121	2
MFS-654	2
MFS-323	2
MFS-656	4
MFS-658	2
MFS-659	4
MFS-660	4
MFS-396	4
MFS-395	4
MFS-675	4
MFS-677	4
MFS-690	4
MFS-706	2
MFS-331	4
MFS-356	2
MFS-355	2
MFS-430	4
MFS-431	4
MFS-351	4
MFS-415	2
MFS-414	2
MFS-359	2
MFS-470	4
MFS-411	4
MFS-410	4
MFS-454	2
MFS-455	2
MFS-401	4
MFS-399	2
MFS-400	2
MFS-443	2
MFS-398	2
MFS-397	2
MFS-482	4
MFS-381	4
MFS-136	4
MFS-368	2
MFS-429	4
MFS-113	2
MFS-83	4
MFS-157	2
MFS-156	2
MFS-105	4
MFS-104	4
MFS-60	4
MFS-61	4
MFS-44	4
MFS-43	4
MFS-28	4
MFS-29	4
MFS-34	2
MFS-33	2
MFS-25	4
MFS-26	4
MFS-70	2
MFS-27	4
MFS-137	4
MFS-32	2
MFS-41	2
MFS-42	2
MFS-63	2
MFS-62	2
MFS-52	2
MFS-51	2
MFS-65	2
MFS-64	2
MFS-116	2
MFS-115	2
MFS-181	4
MFS-54	2
MFS-80	2
MFS-110	2
MFS-277	2
MFS-37	2
MFS-38	2
MFS-55	2
MFS-59	2
MFS-58	2
MFS-106	4
MFS-158	2
MFS-159	2
MFS-56	4
MFS-57	4
MFS-22	2
MFS-15	3
MFS-1	2
MFS-2	2
MFS-162	2
MFS-163	2
MFS-3	2
MFS-16	2
MFS-17	2
MFS-71	2
MFS-160	4
MFS-172	2
MFS-173	2
MFS-97	2
MFS-7	2
MFS-8	2
MFS-184	2
MFS-5	3
MFS-6	4
MFS-129	2
MFS-130	2
MFS-132	2
MFS-150	4
MFS-151	4
MFS-122	2
MFS-171	4
MFS-119	2
MFS-120	2
MFS-135	3
MFS-161	2
MFS-117	4
MFS-258	4
MFS-321	2
MFS-322	2
MFS-319	2
MFS-318	2
MFS-325	2
MFS-326	2
MFS-292	2
MFS-314	4
MFS-327	4
MFS-328	4
MFS-330	2
MFS-320	2
MFS-308	4
MFS-309	4
MFS-329	4
MFS-307	4
MFS-291	2
MFS-310	4
MFS-311	4
MFS-312	2
MFS-259	2
MFS-264	2
MFS-266	2
