Original_ID	PacBio_FQ_PATH	Dataset_Tag	PacBio_ID	Illumina_ID	Kraken_Unclassified_Percent	F2	Coll2014	#sample	PacBio_fastlin_mixture	PacBio_fastlin_output	PacBio_fastlin	Illumina_FQ_PATH
S0007-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2001.ccs.fastq.gz	TRUST_PB_Set1	MFS-3	MFS-3	0.41	0.0083617904937701	2.2.1	TRUST.bc2001.ccs	no	2.2.1 (51)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-3
S0256-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2018.ccs.fastq.gz	TRUST_PB_Set1	MFS-172	MFS-172	0.83	0.0120571048154449	2.2.1.1	TRUST.bc2018.ccs	no	2.2.1.1 (25)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-172
S0252-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2017.ccs.fastq.gz	TRUST_PB_Set1	MFS-168	MFS-168	1.35	0.4772970970697756	2.2.1.1,4.1.1.3	TRUST.bc2017.ccs	yes	4.1.1.3 (21), 2.2.1.1 (17)	2.2.1.1,4.1.1.3	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-168
S0130-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2014.ccs.fastq.gz	TRUST_PB_Set1	MFS-62	MFS-62	0.52	0.0091580395279808	2.2.1.1	TRUST.bc2014.ccs	no	2.2.1.1 (35)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-62
S0107-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2011.ccs.fastq.gz	TRUST_PB_Set1	MFS-59	MFS-59	0.56	0.011810337313693	2.2.1.1	TRUST.bc2011.ccs	no	2.2.1.1 (39)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-59
S0256-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2019.ccs.fastq.gz	TRUST_PB_Set1	MFS-173	MFS-173	1.19	0.0111129216229428	2.2.1.1	TRUST.bc2019.ccs	no	2.2.1.1 (51)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-173
S0089-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2008.ccs.fastq.gz	TRUST_PB_Set1	MFS-54	MFS-54	0.73	0.0101115443910401	2.2.1.1	TRUST.bc2008.ccs	no	2.2.1.1 (39)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-54
S0107-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2010.ccs.fastq.gz	TRUST_PB_Set1	MFS-58	MFS-58	0.45	0.0100803007004954	2.2.1.1	TRUST.bc2010.ccs	no	2.2.1.1 (59)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-58
S0085-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2006.ccs.fastq.gz	TRUST_PB_Set1	MFS-51	MFS-51	0.54	0.0100889702439232	2.2.1.1	TRUST.bc2006.ccs	no	2.2.1.1 (35)	2.2.1.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-51
S0070-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2002.ccs.fastq.gz	TRUST_PB_Set1	MFS-42	MFS-42	0.51	0.0135771218175351	2.2.1	TRUST.bc2002.ccs	no	2.2.1 (65)	2.2.1	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Illumina/TRUST.SRWGS.FQs.AllSets.RenamedAndLanesMerged/MFS-42
